Accession	PlasmidSize	log10PlasmidSize	CollectionDate	NumInsertionSequences	InsertionSequenceDensity	BiocideMetalResistance	Virulence	Integron	ConjugativeSystem	GeographicLocation	IsolationSource	RepliconCarriage	HostTaxonomy	outcomeaminoglycoside	outcomebetalactam_carbapenem	outcomebetalactam_ESBL	outcomebetalactam_other	outcomemacrolide	outcomephenicol	outcomequinolone	outcomesulphonamide	outcometetracycline	outcometrimethoprim	NumOtherResistanceClassesaminoglycoside	NumOtherResistanceClassesbetalactam_carbapenem	NumOtherResistanceClassesbetalactam_ESBL	NumOtherResistanceClassesbetalactam_other	NumOtherResistanceClassesmacrolide	NumOtherResistanceClassesphenicol	NumOtherResistanceClassesquinolone	NumOtherResistanceClassessulphonamide	NumOtherResistanceClassestetracycline	NumOtherResistanceClassestrimethoprim
AB011548.2	3306	-0.480697150764571	2	0	0	0	0	0	non-mobilisable	high-income	human	single-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB244976.1	65998	0.819530774903619	12	3	0.454559229067547	0	0	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB893594.1	5420	-0.266000713461613	24	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB931111.1	15929	0.202188512266052	21	0	0	0	0	0	non-mobilisable	other	other	untyped	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB981620.1	5845	-0.233215484502141	21	0	0	0	0	0	non-mobilisable	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB983195.1	2942	-0.531357331608489	21	0	0	0	0	0	non-mobilisable	other	other	single-replicon	Firmicutes	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1
AB987830.1	4301	-0.366430557445908	20	0	0	0	0	0	non-mobilisable	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF135182.5	153842	1.18707491724783	6	5	0.325008775236931	0	0	0	conjugative	other	other	multi-replicon	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF511037.1	3176	-0.498119506244942	8	0	0	0	0	0	non-mobilisable	other	other	single-replicon	Firmicutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ297913.2	45319	0.656280318241814	7	0	0	0	0	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1
AJ304453.1	55578	0.744902914435022	7	0	0	1	1	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ639924.1	56167	0.74948122789537	10	1	0.178040486406609	1	0	1	conjugative	other	other	single-replicon	other	1	0	0	0	0	1	0	1	1	0	3	4	4	4	4	3	4	3	3	4
AJ863570.1	57198	0.757380843405799	11	0	0	1	0	1	conjugative	other	other	single-replicon	other	1	0	0	1	0	0	0	1	0	0	2	3	3	2	3	3	3	2	3	3
AM157767.1	69966	0.844887045734573	12	3	0.42877969299374	1	0	0	conjugative	other	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AM261282.1	54383	0.735463161462381	12	1	0.183880992221834	1	0	1	conjugative	other	other	untyped	other	1	0	0	0	0	0	0	1	1	1	3	4	4	4	4	4	4	3	3	3
AP012550.1	43128	0.63475931882058	20	1	0.231867928028195	1	0	0	conjugative	other	other	multi-replicon	Firmicutes	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1
AP014611.1	169829	1.23001185236607	21	6	0.353296551236832	1	0	1	conjugative	other	other	single-replicon	Proteobacteria_other	1	0	0	1	0	0	0	1	0	0	2	3	3	2	3	3	3	2	3	3
AP014654.2	145082	1.16161353383269	21	9	0.827118457148371	0	1	0	mobilisable	other	other	multi-replicon	Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP014720.1	311693	1.49372704900283	18	5	0.15953594185234	0	0	0	mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP014721.1	14696	0.167199143297752	18	1	0.680457267283615	0	0	0	non-mobilisable	high-income	other	untyped	other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP014804.1	146197	1.16493846087893	9	9	0.820810276544662	0	1	0	conjugative	middle-income	other	multi-replicon	Enterobacteriaceae	0	0	0	1	0	0	0	0	0	1	2	2	2	1	2	2	2	2	2	1
AP014805.1	83606	0.922237445780972	9	4	0.478434562112767	0	0	0	conjugative	middle-income	other	single-replicon	Enterobacteriaceae	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
AP014806.1	46693	0.669251778012837	9	3	0.642494592337181	0	0	0	mobilisable	middle-income	other	single-replicon	Enterobacteriaceae	0	0	0	1	0	0	0	0	1	0	2	2	2	1	2	2	2	2	1	2
AP014807.1	8599	-0.0655520510510299	9	0	0	0	0	0	non-mobilisable	middle-income	other	single-replicon	Enterobacteriaceae	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1
AP014859.1	183746	1.26421789362379	23	6	0.326537720549019	0	0	0	conjugative	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP014860.1	69078	0.839339755045715	23	2	0.289527780190509	0	0	0	conjugative	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP014861.1	118241	1.07276809402644	23	5	0.42286516521342	0	0	0	conjugative	other	other	untyped	Proteobacteria_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP014876.1	71214	0.852565380224779	22	1	0.140421827168815	0	0	0	conjugative	other	other	single-replicon	Enterobacteriaceae	0	0	0	1	1	0	0	0	0	0	2	2	2	1	1	2	2	2	2	2
AP014877.1	65140	0.813847754228854	22	0	0	0	0	0	conjugative	other	other	untyped	Enterobacteriaceae	0	0	0	1	1	0	0	0	0	0	2	2	2	1	1	2	2	2	2	2
